,HDFCBANK.NS,RELIANCE.NS,ICICIBANK.NS,INFY.NS,ITC.NS,LT.NS,TCS.NS,AXISBANK.NS,KOTAKBANK.NS,BHARTIARTL.NS
2020-07-28,1086.6500244140625,2177.699951171875,352.1000061035156,962.8499755859375,195.39999389648438,913.5,2309.75,437.04998779296875,1384.050048828125,564.5999755859375
2020-07-29,1064.5999755859375,2096.64990234375,351.04998779296875,954.1500244140625,196.6999969482422,921.9500122070312,2276.050048828125,440.8999938964844,1389.449951171875,566.2000122070312
2020-07-30,1050.6500244140625,2108.85009765625,344.95001220703125,961.4500122070312,193.35000610351562,908.25,2279.5,425.8500061035156,1385.0,552.7000122070312
2020-07-31,1032.800048828125,2067.10009765625,346.79998779296875,966.0,194.14999389648438,913.4500122070312,2281.39990234375,431.6499938964844,1365.75,554.8499755859375
2020-08-03,1002.0,2009.0,343.25,956.9000244140625,192.60000610351562,915.9000244140625,2254.14990234375,417.3500061035156,1308.550048828125,547.3499755859375
2020-08-04,1041.6500244140625,2150.60009765625,351.0,949.8499755859375,193.64999389648438,924.25,2249.699951171875,429.1499938964844,1323.949951171875,549.0
2020-08-05,1027.550048828125,2126.449951171875,352.20001220703125,944.7000122070312,192.8000030517578,925.75,2259.5,434.95001220703125,1334.199951171875,558.9500122070312
2020-08-06,1040.699951171875,2134.10009765625,358.75,970.8499755859375,195.35000610351562,922.1500244140625,2308.10009765625,433.0,1340.0999755859375,555.2999877929688
2020-08-07,1043.8499755859375,2146.449951171875,357.95001220703125,950.9000244140625,196.0500030517578,915.6500244140625,2295.35009765625,433.29998779296875,1342.5,560.7999877929688
2020-08-10,1050.6500244140625,2119.85009765625,363.54998779296875,951.3499755859375,198.85000610351562,960.0499877929688,2282.800048828125,431.1000061035156,1360.199951171875,558.8499755859375
2020-08-11,1066.6500244140625,2133.800048828125,367.3500061035156,948.4500122070312,203.0500030517578,961.9000244140625,2279.89990234375,448.0,1364.5999755859375,551.0999755859375
2020-08-12,1063.699951171875,2127.60009765625,366.8500061035156,954.9500122070312,204.1999969482422,949.75,2257.35009765625,451.1000061035156,1335.0999755859375,547.7000122070312
2020-08-13,1059.050048828125,2122.050048828125,368.04998779296875,951.2000122070312,201.4499969482422,990.7000122070312,2254.449951171875,448.1000061035156,1336.25,535.3499755859375
2020-08-14,1034.449951171875,2113.800048828125,361.3999938964844,953.5999755859375,196.39999389648438,982.7999877929688,2242.14990234375,435.8500061035156,1307.449951171875,528.5999755859375
2020-08-17,1032.75,2091.35009765625,360.20001220703125,957.5,198.75,1000.7999877929688,2253.39990234375,438.1499938964844,1327.550048828125,521.4000244140625
2020-08-18,1056.5,2118.550048828125,369.54998779296875,967.5499877929688,198.5500030517578,1004.5499877929688,2269.75,445.79998779296875,1369.3499755859375,526.2999877929688
2020-08-19,1066.5999755859375,2131.550048828125,374.45001220703125,959.2999877929688,198.4499969482422,1009.0999755859375,2256.60009765625,444.20001220703125,1355.5999755859375,535.8499755859375
2020-08-20,1059.0,2097.050048828125,367.75,955.1500244140625,195.8000030517578,995.75,2252.85009765625,434.95001220703125,1338.3499755859375,525.5499877929688
2020-08-21,1085.6500244140625,2081.85009765625,371.1499938964844,948.7999877929688,196.8000030517578,994.1500244140625,2248.60009765625,440.45001220703125,1339.4000244140625,520.25
2020-08-24,1117.050048828125,2095.75,380.3500061035156,947.4000244140625,196.6999969482422,991.3499755859375,2248.10009765625,445.79998779296875,1387.25,526.9000244140625
2020-08-25,1119.699951171875,2082.10009765625,386.3500061035156,938.0999755859375,195.39999389648438,980.4000244140625,2242.64990234375,451.79998779296875,1400.0999755859375,528.6500244140625
2020-08-26,1118.449951171875,2137.300048828125,389.3500061035156,950.7999877929688,194.9499969482422,968.9500122070312,2253.5,463.3500061035156,1436.699951171875,514.5
2020-08-27,1112.0999755859375,2110.60009765625,392.20001220703125,947.0499877929688,194.25,975.5999755859375,2248.39990234375,473.04998779296875,1420.0,511.1499938964844
2020-08-28,1114.5,2116.14990234375,409.70001220703125,935.25,195.5500030517578,981.8499755859375,2238.550048828125,509.20001220703125,1467.0999755859375,523.4500122070312
2020-08-31,1115.8499755859375,2080.699951171875,394.6000061035156,928.5999755859375,191.10000610351562,944.9500122070312,2257.25,496.75,1401.3499755859375,513.0999755859375
2020-09-01,1127.300048828125,2087.25,390.95001220703125,914.1500244140625,190.1999969482422,955.2000122070312,2246.35009765625,485.70001220703125,1430.6500244140625,546.25
