,ZEEL.NS,PVRINOX.NS,SUNTV.NS,TV18BRDCST.NS,NAZARA.NS,DISHTV.NS,NETWORK18.NS,NAVNETEDUL.NS,HATHWAY.NS,NDTV.NS
2020-10-01,214.0,,466.25,28.700000762939453,,14.050000190734863,33.54999923706055,77.05000305175781,29.850000381469727,31.649999618530273
2020-10-05,208.1999969482422,,460.45001220703125,31.399999618530273,,13.800000190734863,35.20000076293945,76.94999694824219,31.100000381469727,32.150001525878906
2020-10-06,216.89999389648438,,467.04998779296875,32.29999923706055,,14.149999618530273,36.95000076293945,76.8499984741211,32.29999923706055,31.850000381469727
2020-10-07,205.9499969482422,,463.45001220703125,30.799999237060547,,13.800000190734863,35.150001525878906,76.1500015258789,32.20000076293945,32.5
2020-10-08,205.89999389648438,,466.6000061035156,30.200000762939453,,13.550000190734863,35.95000076293945,76.5,31.600000381469727,32.099998474121094
2020-10-09,200.5500030517578,,460.04998779296875,30.100000381469727,,13.449999809265137,34.849998474121094,77.05000305175781,31.700000762939453,31.850000381469727
2020-10-12,189.85000610351562,,449.6000061035156,29.899999618530273,,13.149999618530273,34.79999923706055,77.1500015258789,33.25,31.75
2020-10-13,182.4499969482422,,442.6000061035156,29.899999618530273,,12.850000381469727,35.04999923706055,77.1500015258789,34.25,31.700000762939453
2020-10-14,186.1999969482422,,439.45001220703125,29.600000381469727,,12.649999618530273,34.099998474121094,76.55000305175781,33.849998474121094,29.950000762939453
2020-10-15,179.9499969482422,,431.54998779296875,28.850000381469727,,11.899999618530273,33.349998474121094,76.4000015258789,32.25,29.899999618530273
2020-10-16,175.6999969482422,,434.79998779296875,28.549999237060547,,13.0,33.099998474121094,79.19999694824219,31.399999618530273,28.299999237060547
2020-10-19,174.1999969482422,,427.0,27.850000381469727,,12.699999809265137,32.79999923706055,80.1500015258789,30.0,28.600000381469727
2020-10-20,183.0,,428.75,27.799999237060547,,12.649999618530273,32.79999923706055,80.80000305175781,29.799999237060547,28.25
2020-10-21,180.5500030517578,,426.8999938964844,27.850000381469727,,12.399999618530273,32.95000076293945,80.8499984741211,29.799999237060547,28.350000381469727
2020-10-22,183.5,,430.25,29.200000762939453,,12.25,34.099998474121094,82.0,31.25,27.899999618530273
2020-10-23,185.85000610351562,,428.3999938964844,30.049999237060547,,12.199999809265137,36.099998474121094,81.5,30.450000762939453,28.200000762939453
2020-10-26,176.6999969482422,,418.04998779296875,29.75,,11.850000381469727,35.29999923706055,78.0999984741211,29.850000381469727,28.049999237060547
2020-10-27,187.64999389648438,,427.25,29.600000381469727,,12.0,34.54999923706055,77.05000305175781,29.399999618530273,27.950000762939453
2020-10-28,181.39999389648438,,422.54998779296875,30.0,,11.800000190734863,34.79999923706055,77.6500015258789,28.75,28.0
2020-10-29,179.10000610351562,,420.20001220703125,29.149999618530273,,10.949999809265137,33.900001525878906,76.19999694824219,28.399999618530273,28.850000381469727
2020-10-30,187.89999389648438,,422.0,28.75,,11.350000381469727,34.70000076293945,76.6500015258789,28.399999618530273,29.149999618530273
2020-11-02,183.4499969482422,,423.29998779296875,27.950000762939453,,11.800000190734863,33.900001525878906,76.0,27.700000762939453,29.25
2020-11-03,182.0500030517578,,417.1499938964844,27.950000762939453,,12.0,33.599998474121094,75.8499984741211,27.549999237060547,29.100000381469727
2020-11-04,181.85000610351562,,417.95001220703125,28.049999237060547,,11.699999809265137,33.29999923706055,75.75,27.399999618530273,29.5
2020-11-05,190.5,,439.3500061035156,28.100000381469727,,11.5,33.099998474121094,76.55000305175781,27.25,29.399999618530273
2020-11-06,193.10000610351562,,435.45001220703125,27.950000762939453,,11.600000381469727,33.29999923706055,77.44999694824219,27.299999237060547,29.149999618530273
2020-11-09,191.64999389648438,,441.1000061035156,27.600000381469727,,11.300000190734863,33.25,78.0999984741211,28.200000762939453,29.25
2020-11-10,193.10000610351562,,440.0,27.649999618530273,,10.800000190734863,33.150001525878906,80.0999984741211,27.799999237060547,29.5
