,SBIN.NS,BANKBARODA.NS,PNB.NS,CANBK.NS,UNIONBANK.NS,INDIANB.NS,BANKINDIA.NS,MAHABANK.NS,IOB.NS,CENTRALBK.NS
2019-10-14,255.4499969482422,88.30000305175781,57.29999923706055,179.1999969482422,49.5,111.0,60.04999923706055,10.100000381469727,9.5,17.049999237060547
2019-10-15,258.45001220703125,88.0,57.900001525878906,180.60000610351562,50.099998474121094,109.0,61.25,9.350000381469727,9.350000381469727,16.899999618530273
2019-10-16,256.04998779296875,87.30000305175781,57.349998474121094,180.10000610351562,50.25,108.94999694824219,61.0,9.449999809265137,9.350000381469727,16.75
2019-10-17,265.45001220703125,89.0,59.04999923706055,186.5,52.20000076293945,117.5,63.70000076293945,9.600000381469727,9.399999618530273,16.950000762939453
2019-10-18,269.6499938964844,89.80000305175781,60.25,188.85000610351562,52.099998474121094,122.80000305175781,64.19999694824219,9.75,9.699999809265137,17.350000381469727
2019-10-22,270.5,90.1500015258789,60.75,189.6999969482422,52.599998474121094,126.30000305175781,64.30000305175781,11.0,9.699999809265137,17.0
2019-10-23,275.45001220703125,92.44999694824219,61.29999923706055,191.5500030517578,53.70000076293945,142.89999389648438,66.25,10.850000381469727,9.75,17.299999237060547
2019-10-24,262.5,89.9000015258789,59.75,187.60000610351562,51.45000076293945,123.94999694824219,64.05000305175781,10.699999809265137,9.75,17.100000381469727
2019-10-25,281.54998779296875,91.55000305175781,60.70000076293945,192.6999969482422,53.45000076293945,125.55000305175781,65.8499984741211,10.75,9.699999809265137,17.299999237060547
2019-10-27,281.79998779296875,91.5999984741211,60.95000076293945,192.5,53.29999923706055,126.3499984741211,66.0999984741211,11.050000190734863,9.75,17.649999618530273
2019-10-29,280.6499938964844,93.05000305175781,61.95000076293945,195.25,54.25,126.75,67.19999694824219,11.0,9.699999809265137,18.0
2019-10-30,289.8999938964844,95.55000305175781,63.70000076293945,200.0500030517578,57.099998474121094,128.8000030517578,71.05000305175781,11.300000190734863,10.25,20.850000381469727
2019-10-31,312.3999938964844,97.19999694824219,65.3499984741211,203.5500030517578,57.349998474121094,133.0,71.25,11.800000190734863,10.699999809265137,22.799999237060547
2019-11-01,313.54998779296875,100.0,67.1500015258789,207.10000610351562,58.900001525878906,132.8000030517578,71.0,12.399999618530273,10.899999618530273,23.75
2019-11-04,314.29998779296875,101.94999694824219,68.19999694824219,207.85000610351562,58.75,135.0,71.3499984741211,12.949999809265137,12.0,23.25
2019-11-05,319.20001220703125,101.9000015258789,64.75,206.8000030517578,57.20000076293945,128.6999969482422,70.4000015258789,12.600000381469727,10.600000381469727,22.200000762939453
2019-11-06,317.54998779296875,99.44999694824219,64.25,210.89999389648438,57.29999923706055,128.39999389648438,69.94999694824219,12.149999618530273,10.25,21.299999237060547
2019-11-07,318.1499938964844,96.19999694824219,61.95000076293945,209.60000610351562,55.849998474121094,127.4000015258789,68.75,12.100000381469727,10.5,20.700000762939453
2019-11-08,316.0,93.80000305175781,61.45000076293945,201.35000610351562,54.70000076293945,123.5,66.44999694824219,11.800000190734863,10.199999809265137,20.350000381469727
2019-11-11,318.25,96.5,61.70000076293945,203.39999389648438,55.20000076293945,121.9000015258789,67.1500015258789,11.550000190734863,10.149999618530273,20.399999618530273
2019-11-13,306.79998779296875,93.3499984741211,60.29999923706055,196.9499969482422,52.75,118.9000015258789,65.5,11.350000381469727,10.0,19.899999618530273
2019-11-14,306.0,93.30000305175781,60.29999923706055,200.10000610351562,52.29999923706055,114.5,66.25,11.199999809265137,9.800000190734863,19.350000381469727
2019-11-15,321.8999938964844,94.30000305175781,61.900001525878906,205.1999969482422,53.54999923706055,116.80000305175781,69.3499984741211,11.399999618530273,9.899999618530273,21.0
2019-11-18,325.1000061035156,95.9000015258789,62.400001525878906,210.8000030517578,54.75,118.94999694824219,71.30000305175781,11.5,9.899999618530273,20.950000762939453
2019-11-19,330.3999938964844,99.0,64.1500015258789,221.14999389648438,58.95000076293945,123.94999694824219,74.0999984741211,12.550000190734863,10.850000381469727,22.75
2019-11-20,328.79998779296875,98.9000015258789,63.900001525878906,222.5,58.349998474121094,122.4000015258789,73.5999984741211,12.800000190734863,10.75,21.950000762939453
2019-11-21,331.3500061035156,98.5999984741211,63.25,221.85000610351562,57.54999923706055,120.6500015258789,73.1500015258789,12.649999618530273,10.949999809265137,21.850000381469727
2019-11-22,329.29998779296875,99.0999984741211,63.650001525878906,221.1999969482422,56.849998474121094,119.1500015258789,73.05000305175781,12.5,10.75,22.450000762939453
2019-11-25,336.1000061035156,100.55000305175781,64.4000015258789,226.5,57.95000076293945,120.25,74.5999984741211,12.550000190734863,10.649999618530273,22.350000381469727
2019-11-26,335.5,99.9000015258789,63.20000076293945,222.6999969482422,57.5,120.8499984741211,74.55000305175781,12.300000190734863,10.449999809265137,22.100000381469727
2019-11-27,343.54998779296875,102.1500015258789,63.70000076293945,227.14999389648438,58.599998474121094,120.6500015258789,76.8499984741211,12.100000381469727,10.350000381469727,22.100000381469727
2019-11-28,349.29998779296875,106.4000015258789,66.94999694824219,232.14999389648438,64.80000305175781,125.8499984741211,77.4000015258789,12.649999618530273,10.699999809265137,22.5
2019-11-29,341.8500061035156,104.9000015258789,65.5999984741211,227.14999389648438,63.04999923706055,128.89999389648438,75.9000015258789,12.449999809265137,10.649999618530273,22.149999618530273
2019-12-02,338.5,104.4000015258789,65.75,226.4499969482422,62.349998474121094,126.19999694824219,74.9000015258789,12.149999618530273,10.5,20.950000762939453
2019-12-03,336.25,101.0999984741211,62.900001525878906,217.10000610351562,59.20000076293945,123.0,71.4000015258789,12.199999809265137,10.300000190734863,21.0
2019-12-04,341.8500061035156,103.75,63.75,224.0500030517578,59.70000076293945,125.5,72.19999694824219,12.399999618530273,10.399999618530273,21.0
2019-12-05,336.20001220703125,102.25,62.29999923706055,217.60000610351562,58.150001525878906,123.19999694824219,70.94999694824219,12.300000190734863,10.350000381469727,21.0
2019-12-06,320.0,97.05000305175781,60.20000076293945,208.1999969482422,54.95000076293945,119.19999694824219,68.4000015258789,11.899999618530273,10.149999618530273,19.700000762939453
2019-12-09,316.70001220703125,96.94999694824219,60.79999923706055,213.0,55.599998474121094,118.25,68.30000305175781,11.949999809265137,10.0,19.450000762939453
2019-12-10,313.3999938964844,95.5999984741211,59.650001525878906,210.64999389648438,53.95000076293945,116.8499984741211,67.05000305175781,11.800000190734863,9.949999809265137,18.850000381469727
2019-12-11,312.79998779296875,95.69999694824219,59.54999923706055,212.85000610351562,54.400001525878906,117.6500015258789,68.05000305175781,11.550000190734863,9.850000381469727,18.25
2019-12-12,321.8500061035156,97.9000015258789,60.79999923706055,217.85000610351562,55.79999923706055,117.9000015258789,68.80000305175781,11.600000381469727,10.050000190734863,18.450000762939453
2019-12-13,332.54998779296875,101.75,64.44999694824219,227.85000610351562,59.599998474121094,118.0999984741211,70.9000015258789,11.75,10.25,19.149999618530273
2019-12-16,331.8500061035156,101.0,63.70000076293945,227.5500030517578,58.25,116.25,71.05000305175781,11.649999618530273,10.25,18.850000381469727
2019-12-17,332.8999938964844,102.19999694824219,64.69999694824219,229.10000610351562,58.25,110.0,71.25,11.600000381469727,10.100000381469727,18.899999618530273
2019-12-18,326.95001220703125,98.9000015258789,63.20000076293945,223.25,56.54999923706055,109.94999694824219,71.3499984741211,11.649999618530273,10.050000190734863,18.399999618530273
2019-12-19,328.1499938964844,98.55000305175781,63.599998474121094,223.0,56.849998474121094,105.05000305175781,71.44999694824219,11.550000190734863,10.0,18.450000762939453
2019-12-20,337.8500061035156,100.69999694824219,64.6500015258789,230.0,59.150001525878906,107.5,69.9000015258789,11.850000381469727,10.25,18.299999237060547
2019-12-23,332.3999938964844,99.69999694824219,63.650001525878906,225.9499969482422,58.45000076293945,104.94999694824219,69.5999984741211,11.699999809265137,10.100000381469727,18.049999237060547
2019-12-24,331.45001220703125,99.9000015258789,63.5,225.75,58.349998474121094,104.75,69.1500015258789,11.800000190734863,10.100000381469727,17.899999618530273
2019-12-26,329.8500061035156,99.05000305175781,62.79999923706055,220.25,54.45000076293945,104.19999694824219,70.94999694824219,13.300000190734863,11.300000190734863,17.75
2019-12-27,337.25,104.25,65.3499984741211,224.1999969482422,55.5,104.9000015258789,71.80000305175781,13.199999809265137,11.949999809265137,18.0
2019-12-30,334.3999938964844,102.9000015258789,64.4000015258789,221.75,55.0,104.5999984741211,69.75,13.0,11.699999809265137,17.899999618530273
2019-12-31,333.75,101.9000015258789,64.3499984741211,221.35000610351562,54.79999923706055,100.94999694824219,70.4000015258789,12.899999618530273,11.300000190734863,17.899999618530273
2020-01-01,334.45001220703125,101.9000015258789,64.69999694824219,221.64999389648438,54.54999923706055,101.3499984741211,70.44999694824219,12.899999618530273,11.100000381469727,17.950000762939453
2020-01-02,339.29998779296875,104.44999694824219,66.69999694824219,228.85000610351562,55.150001525878906,102.8499984741211,71.25,12.949999809265137,11.149999618530273,18.149999618530273
2020-01-03,333.70001220703125,100.8499984741211,65.05000305175781,221.64999389648438,54.75,102.8499984741211,70.69999694824219,12.850000381469727,11.100000381469727,18.149999618530273
2020-01-06,319.0,95.80000305175781,61.400001525878906,207.4499969482422,52.95000076293945,100.1500015258789,68.5999984741211,12.350000381469727,11.600000381469727,17.850000381469727
2020-01-07,318.3999938964844,96.1500015258789,61.849998474121094,208.0500030517578,52.70000076293945,99.5999984741211,68.55000305175781,12.449999809265137,11.300000190734863,17.950000762939453
2020-01-08,319.79998779296875,95.30000305175781,60.849998474121094,207.8000030517578,51.95000076293945,98.19999694824219,67.8499984741211,12.300000190734863,11.100000381469727,17.75
2020-01-09,330.20001220703125,97.30000305175781,62.599998474121094,213.4499969482422,52.54999923706055,99.4000015258789,68.75,12.600000381469727,11.300000190734863,17.899999618530273
2020-01-10,332.25,97.05000305175781,62.45000076293945,214.14999389648438,52.650001525878906,98.75,68.8499984741211,12.699999809265137,11.199999809265137,17.75
2020-01-13,330.75,97.55000305175781,63.20000076293945,216.14999389648438,52.54999923706055,99.3499984741211,68.8499984741211,13.149999618530273,11.149999618530273,17.899999618530273
2020-01-14,328.0,97.80000305175781,62.79999923706055,215.5500030517578,52.5,99.0,68.8499984741211,13.300000190734863,11.399999618530273,17.950000762939453
