,RELIANCE.NS,ONGC.NS,BPCL.NS,IOC.NS,GAIL.NS,ATGL.NS,HINDPETRO.NS,PETRONET.NS,IGL.NS
2020-10-05,2212.199951171875,69.19999694824219,354.1499938964844,50.36666488647461,58.0,199.4499969482422,175.60000610351562,226.10000610351562,389.54998779296875
2020-10-06,2210.35009765625,69.3499984741211,352.04998779296875,50.233333587646484,58.5,200.8000030517578,173.6999969482422,223.9499969482422,389.75
2020-10-07,2257.5,70.5,342.25,50.133331298828125,57.79999923706055,196.0,171.0500030517578,219.39999389648438,384.1499938964844
2020-10-08,2239.25,68.44999694824219,340.04998779296875,50.33333206176758,56.099998474121094,190.39999389648438,170.9499969482422,220.1999969482422,390.75
2020-10-09,2233.449951171875,70.30000305175781,345.0,51.0,57.133331298828125,188.60000610351562,176.0,218.14999389648438,381.5
2020-10-12,2237.050048828125,69.1500015258789,341.6000061035156,50.46666717529297,55.900001525878906,193.64999389648438,171.39999389648438,218.4499969482422,372.1000061035156
2020-10-13,2280.699951171875,69.0999984741211,339.1000061035156,50.733333587646484,55.43333435058594,190.75,170.39999389648438,215.60000610351562,365.45001220703125
2020-10-14,2287.5,67.0,332.8999938964844,49.766666412353516,55.099998474121094,185.75,168.60000610351562,210.1999969482422,373.1000061035156
2020-10-15,2206.5,66.05000305175781,326.6499938964844,49.70000076293945,54.86666488647461,181.4499969482422,164.0500030517578,218.14999389648438,374.54998779296875
2020-10-16,2175.800048828125,67.25,339.95001220703125,49.46666717529297,56.0,184.64999389648438,169.3000030517578,222.64999389648438,376.95001220703125
2020-10-19,2176.199951171875,69.30000305175781,346.6499938964844,51.20000076293945,58.29999923706055,185.89999389648438,175.85000610351562,222.89999389648438,376.79998779296875
2020-10-20,2155.89990234375,67.4000015258789,343.3500061035156,50.03333282470703,57.133331298828125,191.1999969482422,172.35000610351562,221.5500030517578,376.5
2020-10-21,2124.60009765625,67.80000305175781,349.54998779296875,50.666664123535156,58.43333435058594,192.89999389648438,177.64999389648438,224.6999969482422,380.70001220703125
2020-10-22,2106.949951171875,68.8499984741211,349.3500061035156,51.79999923706055,59.099998474121094,194.85000610351562,179.35000610351562,235.60000610351562,391.25
2020-10-23,2113.050048828125,69.0,351.54998779296875,52.166664123535156,58.20000076293945,196.35000610351562,182.5500030517578,233.3000030517578,392.3500061035156
2020-10-26,2029.0999755859375,68.19999694824219,346.1000061035156,52.06666564941406,57.0,193.64999389648438,174.4499969482422,229.6999969482422,392.95001220703125
2020-10-27,2034.5,66.8499984741211,348.6499938964844,52.06666564941406,56.133331298828125,197.35000610351562,173.5500030517578,234.64999389648438,409.20001220703125
2020-10-28,2011.449951171875,66.3499984741211,345.45001220703125,52.03333282470703,55.400001525878906,201.0500030517578,171.89999389648438,228.6999969482422,406.54998779296875
2020-10-29,2026.9000244140625,64.4000015258789,341.79998779296875,52.266666412353516,55.633331298828125,204.35000610351562,179.60000610351562,230.4499969482422,407.1499938964844
2020-10-30,2054.5,64.9000015258789,354.45001220703125,53.03333282470703,56.5,220.5,187.64999389648438,230.9499969482422,402.25
2020-11-02,1877.449951171875,65.69999694824219,346.3999938964844,52.133331298828125,55.96666717529297,219.35000610351562,187.3000030517578,226.64999389648438,404.20001220703125
