,DLF.NS,GODREJPROP.NS,PHOENIXLTD.NS,LODHA.NS,OBEROIRLTY.NS,PRESTIGE.NS,BRIGADE.NS,MAHLIFE.NS,IBREALEST.NS,SOBHA.NS
2019-12-06,218.39999389648438,886.4500122070312,751.9500122070312,,558.4500122070312,325.8500061035156,203.10000610351562,125.78333282470703,60.95000076293945,394.75
2019-12-09,217.14999389648438,885.3499755859375,756.4500122070312,,551.2999877929688,310.1000061035156,201.5500030517578,127.51666259765625,57.95000076293945,394.0
2019-12-10,216.8000030517578,883.4000244140625,752.9500122070312,,523.75,314.25,200.64999389648438,125.5,57.099998474121094,390.29998779296875
2019-12-11,223.35000610351562,902.1500244140625,764.1500244140625,,508.29998779296875,311.54998779296875,200.35000610351562,126.0999984741211,56.54999923706055,390.75
2019-12-12,224.89999389648438,930.7999877929688,753.6500244140625,,508.75,309.6000061035156,202.9499969482422,129.71665954589844,59.25,390.45001220703125
2019-12-13,228.9499969482422,919.0,764.8499755859375,,523.75,324.1499938964844,206.0500030517578,130.06666564941406,61.04999923706055,395.54998779296875
2019-12-16,230.25,932.5999755859375,784.7999877929688,,524.4000244140625,315.95001220703125,210.10000610351562,128.48333740234375,61.849998474121094,394.3500061035156
2019-12-17,229.89999389648438,922.4500122070312,773.25,,514.3499755859375,328.04998779296875,209.1999969482422,133.9166717529297,61.349998474121094,397.1000061035156
2019-12-18,227.8000030517578,924.3499755859375,775.6500244140625,,517.0999755859375,360.0,208.0500030517578,129.68333435058594,60.79999923706055,397.6499938964844
2019-12-19,228.39999389648438,934.5499877929688,767.25,,518.9000244140625,348.1499938964844,210.0500030517578,130.61666870117188,60.79999923706055,397.20001220703125
2019-12-20,230.5500030517578,948.6500244140625,766.9500122070312,,517.9500122070312,347.8999938964844,210.9499969482422,128.89999389648438,61.79999923706055,395.6000061035156
2019-12-23,227.3000030517578,947.6500244140625,762.5499877929688,,522.0,345.29998779296875,215.39999389648438,129.06666564941406,59.349998474121094,395.3500061035156
2019-12-24,228.64999389648438,939.2999877929688,780.9500122070312,,521.0499877929688,346.6000061035156,215.5500030517578,130.88333129882812,60.04999923706055,397.45001220703125
2019-12-26,226.75,949.7000122070312,807.0,,519.6500244140625,334.3500061035156,214.9499969482422,130.1666717529297,59.70000076293945,396.6000061035156
2019-12-27,232.89999389648438,957.5999755859375,843.75,,523.8499755859375,336.8999938964844,215.35000610351562,130.03334045410156,59.599998474121094,397.95001220703125
2019-12-30,233.25,958.0,838.8499755859375,,528.5,336.0,216.0,132.11666870117188,59.45000076293945,405.6000061035156
2019-12-31,230.89999389648438,988.2999877929688,832.7000122070312,,530.6500244140625,338.3500061035156,218.5,133.3333282470703,65.3499984741211,401.5
2020-01-01,227.5500030517578,990.2000122070312,843.8499755859375,,522.9500122070312,333.29998779296875,214.8000030517578,134.36666870117188,71.8499984741211,401.29998779296875
2020-01-02,233.75,968.4500122070312,838.75,,528.8499755859375,329.75,219.4499969482422,132.88333129882812,79.0,406.8500061035156
2020-01-03,228.60000610351562,965.0499877929688,857.0,,525.8499755859375,331.0,215.60000610351562,134.0,82.94999694824219,404.3500061035156
2020-01-06,220.9499969482422,925.4500122070312,862.7999877929688,,515.0499877929688,321.5,217.8000030517578,133.51666259765625,79.69999694824219,400.79998779296875
2020-01-07,225.5,970.7000122070312,858.2000122070312,,517.8499755859375,322.1000061035156,225.0,134.11666870117188,82.0999984741211,402.5
2020-01-08,227.64999389648438,952.1500244140625,853.2000122070312,,511.5,314.04998779296875,224.5,133.63333129882812,85.6500015258789,397.3999938964844
2020-01-09,238.25,962.0999755859375,869.4000244140625,,522.0499877929688,316.0,225.0,135.89999389648438,89.6500015258789,403.6000061035156
2020-01-10,244.1999969482422,973.5,882.4500122070312,,540.6500244140625,331.20001220703125,225.14999389648438,134.14999389648438,87.9000015258789,415.20001220703125
2020-01-13,252.8000030517578,982.0999755859375,869.2000122070312,,541.75,344.3999938964844,233.5500030517578,134.81666564941406,92.25,443.6000061035156
2020-01-14,254.5500030517578,976.0999755859375,856.8499755859375,,539.5,339.54998779296875,230.10000610351562,136.64999389648438,95.19999694824219,436.1000061035156
2020-01-15,255.89999389648438,979.75,859.0499877929688,,554.6500244140625,359.3999938964844,233.10000610351562,136.6999969482422,99.94999694824219,443.0
2020-01-16,258.1499938964844,989.3499755859375,875.5,,548.75,377.45001220703125,232.0500030517578,136.9166717529297,102.80000305175781,443.6499938964844
2020-01-17,261.25,987.9000244140625,874.0999755859375,,543.7999877929688,375.1000061035156,230.10000610351562,137.6666717529297,102.8499984741211,451.0
2020-01-20,258.95001220703125,981.9000244140625,880.9500122070312,,543.4000244140625,414.95001220703125,229.1999969482422,136.81666564941406,101.1500015258789,451.25
2020-01-21,257.1000061035156,953.5,895.6500244140625,,549.75,381.8500061035156,226.25,138.01666259765625,100.0,444.0
2020-01-22,258.1000061035156,960.25,890.5,,548.2000122070312,386.29998779296875,228.10000610351562,138.13333129882812,96.5,440.1000061035156
2020-01-23,260.70001220703125,1020.2999877929688,879.9000244140625,,553.7000122070312,401.04998779296875,229.14999389648438,136.81666564941406,101.1500015258789,446.3999938964844
2020-01-24,262.8500061035156,1053.0,852.2999877929688,,565.0499877929688,380.95001220703125,229.0,137.5833282470703,101.0999984741211,439.3999938964844
2020-01-27,257.1000061035156,1059.949951171875,818.7999877929688,,566.0,391.1000061035156,226.10000610351562,133.61666870117188,105.69999694824219,437.20001220703125
2020-01-28,257.6499938964844,1059.1500244140625,835.2000122070312,,552.9500122070312,385.0,230.0500030517578,132.75,108.3499984741211,440.25
2020-01-29,258.6000061035156,1089.050048828125,846.9500122070312,,553.5,376.5,228.5500030517578,135.31666564941406,106.0,442.0
2020-01-30,254.64999389648438,1087.949951171875,873.6500244140625,,554.6500244140625,374.95001220703125,228.14999389648438,136.61666870117188,101.80000305175781,440.04998779296875
2020-01-31,260.45001220703125,1080.300048828125,878.2000122070312,,545.5499877929688,383.29998779296875,239.60000610351562,139.96665954589844,106.5,449.45001220703125
